file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-server-common\src\main\java\im\turms\server\common\access\client\dto\request\group\DeleteGroupRequestOuterClass.java,im.turms.server.common.access.client.dto.request.group.DeleteGroupRequestOuterClass,class,7,8,1,7,5,1,0,5,4,0.5833333,0.0,0.0,4,3,3,1,0,0,4,0,0,0,3,3,0,1,0,2,2,0,2,21,1,0,0,0,0,6,1,4,1,4,0,0,0,0,24,17,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-server-common\src\main\java\im\turms\server\common\access\client\dto\model\group\GroupJoinQuestionsAnswerResult.java,im.turms.server.common.access.client.dto.model.group.GroupJoinQuestionsAnswerResult$Anonymous1,anonymous,4,4,0,4,4,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,1,0,0,0,1,0,1,1,0,0,0,14,-1,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-server-common\src\main\java\im\turms\server\common\access\client\dto\model\group\GroupInvitation.java,im.turms.server.common.access.client.dto.model.group.GroupInvitation$Anonymous1,anonymous,4,4,0,4,4,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,1,0,0,0,1,0,1,1,0,0,0,11,-1,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-client-kotlin\src\main\java\im\turms\client\model\proto\model\file\File.java,im.turms.client.model.proto.model.file.File$DescriptionOrBuilder,interface,2,2,0,2,7,1,0,0,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-server-common\src\main\java\im\turms\server\common\infra\property\env\gateway\DiscoveryProperties.java,im.turms.server.common.infra.property.env.gateway.DiscoveryProperties,class,7,8,1,7,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,14,0,4,4,4,0,0,0,0,63,1,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-server-common\src\main\java\im\turms\server\common\infra\plugin\script\ScriptExecutionException.java,im.turms.server.common.infra.plugin.script.ScriptExecutionException,class,3,5,2,3,3,5,0,0,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,13,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,1,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-server-common\src\main\java\im\turms\server\common\access\client\dto\request\storage\DeleteResourceRequest.java,im.turms.server.common.access.client.dto.request.storage.DeleteResourceRequest$ExtraDefaultEntryHolder,innerclass,1,1,0,1,0,1,0,1,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,3,0,0,0,0,0,2,0,1,0,1,0,0,0,0,7,26,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-service\src\main\java\im\turms\service\storage\mongo\MongoCollectionInitializer.java,im.turms.service.storage.mongo.MongoCollectionInitializer,class,49,50,1,49,65,1,0,107,21,0.77142864,NaN,NaN,10,0,1,9,0,0,1,0,0,0,14,1,0,14,0,0,14,0,8,287,37,8,20,4,0,33,12,67,8,84,5,0,0,27,177,1,8
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-client-kotlin\src\main\java\im\turms\client\model\proto\model\group\GroupOrBuilder.java,im.turms.client.model.proto.model.group.GroupOrBuilder,interface,2,5,3,2,25,1,0,0,300,0.0,0.0,0.0,25,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-client-kotlin\src\main\java\im\turms\client\model\proto\request\group\enrollment\DeleteGroupJoinQuestionsRequest.java,im.turms.client.model.proto.request.group.enrollment.DeleteGroupJoinQuestionsRequest$Builder,innerclass,3,3,0,3,11,1,0,12,55,0.0,0.0,0.0,11,0,10,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,47,10,0,0,0,0,0,0,0,0,0,0,0,0,0,51,25,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-gateway\src\main\java\im\turms\gateway\access\client\common\authorization\policy\PolicyDeserializer.java,im.turms.gateway.access.client.common.authorization.policy.PolicyDeserializer,class,10,13,3,10,27,1,0,23,15,0.8333333,0.0,0.0,6,5,1,5,0,0,2,0,0,0,6,6,0,6,0,0,6,0,10,120,9,4,2,5,7,17,12,29,12,26,3,0,0,0,69,1,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-server-common\src\main\java\im\turms\server\common\storage\mongo\IMongoCollectionInitializer.java,im.turms.server.common.storage.mongo.IMongoCollectionInitializer,interface,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,12,1,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-client-kotlin\src\main\java\im\turms\client\model\proto\request\user\QueryUserOnlineStatusesRequest.java,im.turms.client.model.proto.request.user.QueryUserOnlineStatusesRequest$Builder,innerclass,3,3,0,3,8,1,0,9,28,0.0,0.0,0.0,8,0,7,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,34,7,0,0,0,0,0,0,0,0,0,0,0,0,0,47,25,0
